index,plant_type,disease_name,explanation,solution,image_url
24,라즈베리 , 건강함,"봄부터 수확 후까지 일주일에 1인치씩 물을 줍니다. 자주 물을 주는 것보다 자주 물을 주는 것이 더 좋습니다. 줄에서 멀리 자라는 ""빨판""이나 지팡이를 파내어 라즈베리 덤불을 깔끔하게 유지하십시오. 파내지 않으면 영양분을 빼앗아 내년에 열매를 덜 맺게 될 것입니다.",이는 심장 기능에 필수적인 칼륨을 제공하고 혈압을 낮추는 것으로 입증되었습니다. 라즈베리의 오메가-3 지방산은 뇌졸중과 심장병을 예방하는 데 도움이 될 수 있습니다. 또한 건강한 뼈와 피부에 필요하고 혈당 조절에 도움이 되는 망간이라는 미네랄을 함유하고 있습니다.,https://www.gardeningknowhow.com/wp-content/uploads/2009/04/raspberry.jpg
25,대두 , 건강함,콩이 토양을 통과할 때까지 모판을 균일하게 촉촉하게 유지하십시오. 꽃이 피고 꼬투리가 형성되는 동안 정기적으로 물을 줍니다. 꽃과 꼬투리가 떨어질 수 있으므로 머리 위로 물을 주지 마십시오. 토양 수분을 보존하기 위해 토양이 60°F(16°C) 이상으로 따뜻해지면 뿌리 덮개를 하십시오.,"섬유질 함량이 높음
단백질 함량이 높음
포화지방이 적다
콜레스테롤이 없는
유당이 없는
오메가-3 지방산의 좋은 공급원
항산화제의 공급원
식물성 에스트로겐 함량이 높습니다.",https://upload.wikimedia.org/wikipedia/commons/a/ac/Soybean_leaves.jpg
26,스쿼시 , 흰가루병,"흰색 가루 반점이 잎의 윗면과 아랫면 모두에 형성될 수 있으며 빠르게 큰 반점으로 확대됩니다.
흰가루병은 식물을 약화시키고 과일은 조기에 익습니다. 감염된 식물에서는 열매가 점점 더 작아집니다.
따뜻하고 건조한 환경에서는 새로운 포자가 형성되어 질병이 쉽게 퍼집니다.
흰가루병의 증상은 미네소타의 한여름에서 늦여름에 처음으로 나타납니다.
적절한 간격, 식물 고정 및 잡초 제거를 통해 식물 주변에 좋은 공기 흐름을 제공하십시오.
과거에 흰가루병으로 인해 수확량이 감소했던 지역에서 감수성 품종이 자라면 살균제가 필요할 수 있습니다.",베이킹 소다 1테이블스푼과 세제가 없는 액체 비누 1/2티스푼을 물 1갤런과 섞은 다음 혼합물을 식물에 넉넉하게 뿌립니다. 구강 청결제. 입안의 세균을 죽이기 위해 매일 사용하는 구강 청결제는 흰가루병 포자를 죽이는 데도 효과적일 수 있습니다.,https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/powdery-mildew-2.jpg?itok=Un68av52
27,딸기 , 잎 태우기,"잎마름 증상은 일반적인(Mycosphaerella) 잎 반점의 초기 단계와 매우 유사하며 불규칙한 어두운 보라색 반점이 잎 표면에 흩어져 있습니다. 반점이 커지면서 타르 방울처럼 보이기 시작하고 실제로는 곰팡이의 검은 자실체(acervuli)가 축적된 것입니다. 반점의 중앙은 보라색으로 남아 있고(Mycosphaerella 잎 반점에서는 흰색임) 뚜렷한 병변 경계가 없습니다. 심한 감염에서는 이들 부위가 합쳐지고 병변 사이의 조직은 종종 품종, 온도 또는 기타 요인에 따라 자줏빛에서 밝은 붉은색을 띠게 됩니다. 잎은 결국 갈색으로 변하고 건조되며 가장자리가 말려 잎이 그을린 것처럼 보입니다. acervuli와 분생포자의 형태를 검사하면 질병이 진행된 단계에서 잎 반점과 잎 마름병을 구별하는 데 도움이 될 수 있습니다. 잎마름병반의 상부 잎 표면에서 아세르불리는 반짝이는 포자 덩어리와 어두운 사경으로 인해 어둡습니다. 잎자루 병변은 길고 움푹 들어가고 자줏빛에서 갈색을 띠며 잎자루를 둘러싸서 잎을 죽일 수 있습니다. 달리는 사람, 과일 줄기, 과일 및 모자도 감염될 수 있습니다. 식물이 약해지고 수관의 수와 활력이 감소할 수 있습니다. 감염은 식물을 겨울과 가뭄 스트레스에 취약하게 만듭니다. 심한 감염에서는 꽃과 과일이 죽을 수도 있습니다.",딸기 식물의 잎이 눌어붙는 현상은 실망스러울 수 있지만 가정 정원사가 정원에 잎이 눌어붙는 것을 방지하기 위해 사용할 수 있는 몇 가지 전략이 있습니다. 딸기 잎 마름을 관리하는 주요 수단은 항상 예방이어야 합니다. 이 곰팡이 병원체는 감염된 식물의 낙엽에서 겨울을 보내기 때문에 적절한 정원 위생이 중요합니다. 여기에는 딸기 밭에서 감염된 정원 잔해물을 제거하는 것뿐만 아니라 새로운 딸기 이식을 자주 하는 것도 포함됩니다. 오래된 식물은 심각한 감염 징후를 보일 가능성이 높기 때문에 새로운 식목과 딸기 밭을 만드는 것은 일관된 딸기 수확을 유지하는 데 중요합니다.,https://content.ces.ncsu.edu/media/images/17531_IMG_2126.JPG
28,딸기 , 건강,"그들은 많은 빛을 사랑하고 필요로 하기 때문에 햇볕이 잘 드는 장소를 찾으십시오. 나는 아침 햇살을 받는 곳을 더 좋아한다.
화분 및/또는 기타 용기에 담아 둔 경우 햇빛의 변화를 활용하기 위해 낮 동안 옮기는 것이 좋습니다.
그들은 목마른 식물입니다. 매일 물을 주세요. 특히 과일을 생산하는 경우에는 더욱 그렇습니다. 질병 예방을 위해 아침에 하는 것이 좋으며 잎이 젖지 않도록 하는 것이 가장 좋습니다.
극한의 기상 조건과 바람으로부터 보호하십시오. 햇빛을 좋아하더라도 한낮의 직사광선에 노출되는 것도 해로울 수 있다는 점에 유의하세요.
화분의 배수가 잘 되는지 확인하세요.
잡초와 원치 않는 식물을 점검하십시오.
딸기를 생산하려면 많은 에너지가 필요하기 때문에 비료를 주어야 합니다. 균형 잡힌 비료(10-10-10, 12-12-12 등)를 구입하세요. 비료를 너무 많이 사용하면 과일 수확량이 감소하고 러너 생산이 촉진될 수도 있으므로 지침을 따르십시오.","딸기의 하트 모양 실루엣은 이 과일이 당신에게 좋다는 첫 번째 단서입니다. 이 강력한 작은 패키지는 심장을 보호하고 HDL(좋은) 콜레스테롤을 증가시키며 혈압을 낮추고 암을 예방합니다.

비타민, 섬유질, 특히 폴리페놀로 알려진 높은 수준의 항산화제가 함유된 딸기는 무나트륨, 무지방, 무콜레스테롤, 저칼로리 식품입니다. 항산화 능력이 있는 상위 20개 과일 중 하나이며 망간과 칼륨의 좋은 공급원입니다. 딸기 8개 정도의 1회 제공량은 오렌지 1개보다 더 많은 비타민 C를 제공합니다.",https://www.canr.msu.edu/uploads/images/7-12-11-MARK-plhstrw4.jpg
29,토마토 , 세균 반점,"토마토의 세균성 반점은 잠재적으로 파괴적인 질병으로, 심각한 경우에는 판매할 수 없는 과일과 심지어 식물의 죽음까지 초래할 수 있습니다.  세균 반점은 토마토가 재배되는 곳 어디에서나 발생할 수 있지만 온실뿐만 아니라 따뜻하고 습한 기후에서 가장 자주 발견됩니다.  이 질병은 위스콘신에서 종종 문제가 됩니다. 세균 반점은 잎, 줄기, 과일을 포함하여 토마토 식물의 모든 지상 부분에 영향을 미칠 수 있습니다.  박테리아 반점은 잎에 작은(0.25cm 미만), 때로는 물에 젖은(즉, 젖은 것처럼 보이는) 원형 영역으로 나타납니다.  반점은 처음에는 황록색일 수 있지만 시간이 지나면서 갈색을 띤 빨간색으로 어두워집니다.  질병이 심할 경우 잎이 광범위하게 황변되고 잎이 손실될 수도 있습니다.  녹색 과일의 반점은 일반적으로 작고 융기된 물집 모양이며 노란색 후광이 있을 수 있습니다.  과일이 성숙해짐에 따라 반점은 커지고(최대 크기는 1인치에 도달) 갈색으로 변하고 딱지가 생기고 거칠어집니다.  성숙한 반점은 솟아오를 수도 있고 가장자리가 올라와 함몰될 수도 있습니다.","오염된 종자나 묘목에 세균성 반점 병원균이 유입되는 것을 방지하기 위해 병원균이 없는 종자나 이식을 심습니다.  깨끗한 종자 공급원을 이용할 수 없거나 종자가 오염되었다고 의심되는 경우 종자를 122°F의 물에 25분 동안 담그십시오. 병원균을 죽이기 위해.  잎을 건조한 상태로 유지하고 병원균의 확산을 방지하려면 정착된 식물에 머리 위 물주기(예: 막대 또는 스프링클러 사용)를 피하고 대신 점적 테이프나 흡수 호스를 사용하십시오.  또한 확산을 방지하려면 식물이 젖었을 때(예: 이슬로 인해) 다루지 말고 10% 표백제 용액 또는 (더 나은) 70% 알코올(예: 소독용 알코올)을 사용하여 도구를 정기적으로 소독하십시오.  세균 반점이 반복적으로 문제가 되는 경우, 특히 따뜻하고 습한 기간 동안 토마토에 사용하도록 등록된 구리 기반 제품을 예방 용도로 사용하는 것을 고려하십시오.  그러나 구리를 과도하게 또는 장기간 사용하면 더 이상 질병을 통제할 수 없다는 점을 명심하십시오.  가장 안전하고 효과적인 방법으로 제품을 사용하려면 선택한 제품의 모든 라벨 지침을 읽고 따르십시오.",https://www.growingproduce.com/wp-content/uploads/2019/08/bacterial_spot_tomato.jpg
30,토마토 , 초기 역병,"조기 마름병은 가장 흔한 토마토 질병 중 하나이며, 토마토가 재배되는 곳에서는 거의 매 계절마다 발생합니다.
이는 잎, 과일 및 줄기에 영향을 미치며 민감한 품종을 사용하고 날씨가 좋을 때 수확량을 심각하게 제한할 수 있습니다.
심한 낙엽이 발생하여 과일에 햇볕에 데일 수 있습니다.
조기 마름병은 미네소타의 포장 및 고터널 토마토 생산 모두에서 흔히 발생합니다.","공기 순환을 개선하고 곰팡이 문제를 줄이기 위해 식물을 가지치기하거나 심습니다.
전지를 자를 때마다 전지가위를 소독하십시오(표백제 1:물 4:1).
식물 아래의 토양을 깨끗하게 유지하고 정원 잔해물이 없도록 유지하십시오. 포자가 식물에 다시 튀는 것을 방지하기 위해 유기 퇴비 층을 추가하십시오.
점적 관개 및 담그는 호스를 사용하여 잎을 건조하게 유지할 수 있습니다.
최선의 방제를 위해, 질병이 일반적으로 나타나기 2주 전이나 일기예보에서 장기간 습한 날씨가 예상되는 경우 일찍, 구리 기반 살균제를 적용하십시오. 또는 질병이 처음 나타날 때 치료를 시작하고 필요한 기간 동안 7~10일마다 반복합니다.
구리와 피레스린을 함유한 Bonide? Garden Dust는 많은 곤충 공격과 곰팡이 문제에 대한 안전한 원스텝 제어 장치입니다. 최상의 결과를 얻으려면 잎의 윗면과 아랫면을 얇고 균일한 필름이나 먼지로 덮으십시오. 잎 밀도에 따라 10온스는 625평방피트를 덮을 수 있습니다. 필요에 따라 7-10일마다 반복하여 적용하십시오.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/large/public/early-blight-leaf-tomato.jpg?itok=woYQQlrF
31,토마토 , 역병,"역병은 난균류 Phytophthora infestans에 의해 발생합니다. 난균류는 물곰팡이라고도 불리는 곰팡이 같은 유기체이지만 실제 곰팡이는 아닙니다.
P. 인페스탄스에는 다양한 계통이 있습니다. 이를 클론 계통이라고 하며 숫자 코드(예: US-23)로 지정됩니다. 많은 클론 계통이 토마토와 감자 모두에 영향을 주지만 일부 계통은 한 숙주 또는 다른 숙주에만 특정합니다. 역병은 토마토 식물의 잎, 줄기 및 열매를 감염시키는 토마토와 감자의 잠재적으로 파괴적인 질병입니다.
이 질병은 들판에 빠르게 퍼지며, 치료하지 않으면 농작물이 완전히 망가질 수 있습니다.
감자의 역병은 1840년대 후반 아일랜드 감자 기근의 원인이었습니다.","위생은 토마토 역병을 통제하는 첫 번째 단계입니다. 정원 지역에서 모든 잔해와 떨어진 과일을 청소하십시오. 이는 장기간 동결 가능성이 낮고 토마토 역병이 떨어진 과일에서 겨울을 날 수 있는 따뜻한 지역에서 특히 중요합니다. 현재, 후기 토마토 마름병에 저항성을 갖는 토마토 품종은 없으므로 적어도 일주일에 두 번 식물을 검사해야 합니다. 역병 증상은 습한 환경에서 발생할 가능성이 더 높으므로 이 기간에는 더 많은 주의가 필요합니다. 가정 정원사의 경우 마네브, 만코제브, 클로로타놀릴 또는 고정 구리가 함유된 살균제는 토마토 후기 마름병으로부터 식물을 보호하는 데 도움이 될 수 있습니다. 질병은 언제든지 발생할 수 있으므로 성장기 내내 반복적으로 적용해야 합니다. 유기농 정원사의 경우 사용이 승인된 고정 구리 제품이 있습니다. 그렇지 않으면 감염된 모든 식물을 즉시 제거하고 파괴해야 합니다.","https://www.canr.msu.edu/contentAsset/image/e97d1ef0-5b55-49b0-ab4e-c57dcbeca65e/fileAsset/filter/Resize,Jpeg/resize_w/750/jpeg_q/80"
32,토마토 , 잎 곰팡이,"토마토 잎 곰팡이는 잎이 젖어 있는 기간이 길고 상대 습도가 높을 때(85% 이상) 발생할 수 있는 곰팡이 질병입니다. 이러한 수분 요구량으로 인해 이 질병은 주로 농구장과 온실에서 나타납니다. 토마토 잎 곰팡이는 이른 봄 기온(화씨 50.9도)이나 여름의 특징적인 기온(90F)에 발생할 수 있습니다. 최적의 토마토 잎 곰팡이 온도는 70도 초반입니다.

질병의 증상은 잎 윗면에 노란색 반점이 나타나는 것입니다. 영향을 받은 잎의 아래쪽에서 올리브 녹색 포자의 분리된 덩어리를 볼 수 있습니다.","토마토 식물을 살균제로 처리할 때는 토양 위에 있는 식물의 모든 부분, 특히 질병이 자주 발생하는 잎의 밑면을 덮도록 하십시오. 잎 곰팡이 문제를 치료하려면 염화칼슘 기반 스프레이를 사용하는 것이 좋습니다. 유기농 살균제 옵션도 이용 가능합니다.",https://www.gardeningknowhow.com/wp-content/uploads/2018/04/tomato-leaf-mold-400x300.jpg
33,토마토 , Septoria 잎 반점,Septoria 잎 반점은 Septoria lycopersici라는 곰팡이에 의해 발생합니다. 이는 토마토 잎에 가장 파괴적인 질병 중 하나이며 습하고 습한 날씨가 장기간 지속되는 지역에서 특히 심합니다. Septoria 잎 반점은 일반적으로 첫 번째 열매가 맺힌 후 아래쪽 잎에 나타납니다. 반점은 원형이고 직경이 약 1/16~1/4인치이며 가장자리는 짙은 갈색이고 중앙에는 황갈색에서 회색까지 작은 검은색 자실 구조가 있습니다. 특징적으로 잎당 반점이 많다. 이 질병은 가장 오래된 성장부터 가장 어린 성장까지 위쪽으로 퍼집니다. 잎병변이 많으면 잎이 약간 노랗게 변한 후 갈색으로 변한 후 시들어진다. 과일 감염은 드뭅니다.,"병든 잎을 제거하십시오. 
식물 주변의 공기 순환을 개선하십시오.
식물 바닥 주위에 뿌리 덮개를하십시오. 멀칭은 잔해와 관련된 곰팡이 포자를 포함할 수 있는 토양이 튀는 것을 줄여줍니다. 토양이 따뜻해진 후에 뿌리 덮개를 적용하십시오.
머리 위 급수를 사용하지 마십시오. 머리 위 물을 뿌리면 감염이 촉진되고 질병이 퍼집니다. 잎을 건조하게 유지하려면 식물 바닥에 담그는 호스를 사용하십시오. 이른 아침에 물을 줍니다.
잡초를 통제하십시오. Nightshade와 Horsenettle은 Septoria 잎 반점의 숙주인 경우가 많으므로 정원 주변에서 제거해야 합니다.
자르기 회전을 사용합니다. 내년에는 병든 토마토가 자란 동일한 위치에 토마토를 다시 심지 마십시오. 잠깐만요? 이 지역에 토마토를 다시 심기 몇 년 전입니다.
살균 스프레이를 사용하십시오.",https://www.missouribotanicalgarden.org/portals/0/Gardening/Gardening%20Help/images/Pests/Septoria_Leaf_Spot_of_Tomato187.jpg
34,토마토 , 거미 진드기 | 두 점박이 진드기,"점박이 진드기는 뉴잉글랜드의 야채와 과일 작물을 공격하는 가장 흔한 진드기 종입니다. 거미 진드기는 토마토, 가지, 감자, 멜론, 오이와 같은 포도나무 작물 및 기타 작물에서 발생할 수 있습니다. 점박이 진드기는 가지의 가장 중요한 해충 중 하나입니다. 연간 최대 20세대를 가지며 과도한 질소와 건조하고 먼지가 많은 환경을 선호합니다. 진드기 집단의 관리를 돕는 수많은 천적을 방해하는 광범위한 살충제의 사용으로 인해 발생하는 경우가 많습니다. 대부분의 해충과 마찬가지로 문제를 조기에 발견하면 통제가 더 쉬워집니다.","잡초가 많은 밭을 피하고 콩과 식물 작물 근처에 가지를 심지 마십시오.
다른 해충에 대한 초기 시즌의 광범위한 살충제 적용을 피하십시오.
과도하게 비료를 주지 마십시오.
머리 위 관개나 장기간의 비는 인구 감소에 도움이 될 수 있습니다.",https://entomology.ca.uky.edu/files/styles/panopoly_image_original/public/310a.jpg?itok=XNlP0H9H
35,토마토 , 대상 지점,"질병은 오래된 잎에서 시작하여 위쪽으로 퍼집니다. 첫 번째 징후는 노란색 여백이 있는 불규칙한 모양의 점(1mm 미만)입니다. 일부 점은 최대 10mm까지 확대되고 특징적인 고리를 표시하므로 ""표적 지점""이라는 이름이 붙었습니다. 모든 전단지 및 다른 잎으로의 확산 속도가 빨라서 잎이 노랗게 변하고 쓰러져 죽게 됩니다. 줄기에도 반점이 생긴다. 그들은 길고 가늘다. 가장자리가 어두운 작은 밝은 갈색 반점이 과일에 나타날 수도 있습니다.
바람에 날리는 비에 의해 포자가 퍼지는데, 바람이 많이 부는 습한 날씨가 며칠 동안 계속되면 확산 속도가 빨라 식물이 빨리 잎을 잃습니다.","문화적 통제가 중요하다. 다음을 수행해야 합니다.
질병에 걸린 오래된 작물 옆에 새로운 작물을 심지 마십시오.
특히 잎에 작은 각진 반점이 있는 경우 파파야에서 최대한 멀리 심습니다(사진 5).
묘목장에 있는 묘목을 모두 확인하고 잎에 반점이 있는 묘목은 버리십시오.
바닥에 더 나은 공기 흐름을 제공하기 위해 식물의 아래쪽 부분에서 가지 몇 개를 제거하십시오.
질병이 발견되자마자, 특히 아래쪽 과일 트러스를 따낸 후에는 아래쪽 잎을 제거하고 태워야 합니다.
일부 지역에는 곰팡이의 숙주가 될 수 있으므로 잡초가 없는 곳을 유지하십시오.
머리 위 관개를 사용하지 마십시오. 그렇지 않으면 포자 생산 및 감염을 위한 조건이 만들어집니다.
수확이 완료되면 최대한 많은 작물을 모아 태워주세요.
같은 땅에 토마토를 다시 심기 전에 3년을 두고 윤작을 연습하십시오.",https://barmac.com.au/wp-content/uploads/sites/3/2016/01/Target-Spot-Tomato1.jpg
36,토마토 , 노란 잎 컬 바이러스,"토마토황색잎말림바이러스는 Begomovirus 속과 Geminiviridae과에 속하는 종입니다. 토마토황엽말림바이러스(TYLCV) 감염은 토마토 식물에 심각한 증상을 유발하고 전 세계적으로 심각한 수확량 손실을 초래합니다. TYLCV는 고구마 가루이, Bemisia tabaci(Gennadius)에 의해 지속적으로 전염됩니다. TYLCV에 대한 저항성을 부여하는 단일 또는 소수의 유전자를 가진 품종 및 잡종은 종종 TYLCV로 인한 손실을 완화하기 위해 식재됩니다. 이러한 저항성 유전형(품종 또는 잡종)은 TYLCV에 면역이 아닙니다. 그들은 일반적으로 전신 감염을 일으키고 경미한 증상을 나타내며 TYLCV 압력 하에서 감수성 유전자형보다 더 시장성이 있는 토마토를 생산합니다. 여러 병리학에서 단일 우성 저항성 부여 유전자를 가진 저항성 품종의 광범위한 사용으로 인해 바이러스에 대한 강력한 선택 압력이 발생하고 매우 독성이 강한 균주 및 저항성 붕괴.",바이러스와 가루이가 없는 토마토와 고추 이식만을 사용하십시오. 이식은 가루이 성충의 경우 Capture(bifenthrin) 또는 Venom(dinotefuran)으로 처리해야 하며 알과 약충의 경우 Oberon으로 처리해야 합니다. 이미다클로프리드 또는 티아메톡삼은 배송 전 최소 7일 전에 이식 시설에서 사용해야 합니다. 이미다클로프리드는 식물 전체와 잎 아래에 뿌려야 합니다. 알과 파리는 종종 나뭇잎 아래에서 발견됩니다. 가루이가 화학물질에 대한 저항성을 갖지 않도록 14~21일마다 살포하고 매달 Abamectin을 교대로 뿌리십시오.,https://gd.eppo.int/media/data/taxon/T/TYLCV0/pics/1024x0/10609.jpg
37,토마토 , 모자이크 바이러스,"토마토 모자이크 바이러스(ToMV)와 담배 모자이크 바이러스(TMV)는 구별하기 어렵습니다.
토마토 모자이크 바이러스(ToMV)는 토마토 식물의 황변 및 성장 장애를 유발하여 스탠드 손실과 수확량 감소를 초래할 수 있습니다.
ToMV는 과일의 고르지 못한 숙성을 유발하여 수확량을 더욱 감소시킬 수 있습니다.
담배모자이크바이러스(TMV)는 한때 토마토에서 더 흔한 것으로 여겨졌습니다. 
TMV는 일반적으로 토마토 병원체라기보다는 담배 병원체에 가깝습니다. 잎은 얼룩덜룩한 빛과 짙은 녹색을 띕니다.
얼룩덜룩한 밝은 녹색과 짙은 녹색의 어린 토마토 잎, 성장이 둔화되고 잎이 말려 있고 기형입니다.
토마토 모종의 담배 모자이크 바이러스 증상
식물이 조기에 감염되면 전체적으로 노랗게 보이고 성장이 둔화될 수 있습니다.
잎은 말리거나, 기형이거나, 크기가 줄어들 수 있습니다.","인증된 무병 종자를 사용하거나 직접 종자를 처리하십시오.
씨앗을 10% 인산삼나트륨(Na3PO4) 용액에 최소 15분 동안 담그십시오.
또는 건조된 씨앗을 158°F로 가열하고 그 온도에서 2~4일 동안 보관합니다.
평판이 좋은 곳에서만 이식 제품을 구입하십시오. 질병을 예방하기 위해 사용하는 위생 절차에 대해 문의하십시오.
구입하기 전에 이식편을 검사하십시오. 뚜렷한 증상이 없는 이식만을 선택합니다.
바이러스는 뿌리에서 장기간 생존할 수 있으므로 토마토 뿌리 잔해가 있는 밭에는 심지 마십시오.
식물 사이에 퍼질 가능성을 줄이기 위해 식물을 다루기 전과 다루는 동안 비누와 물로 손을 씻으십시오.",http://ucanr.edu/blogs/dirt/blogfiles/71403_original.jpg
38,토마토 , 건강,파종 1주일 전과 파종 당일에 비료를 줍니다. 그들은 특히 꽃과 꽃에서 자라는 과일이나 채소의 형성을 촉진하는 인을 좋아합니다. 토마토 식물에 꽃이 피면 과일 성장보다는 포도나무 성장을 촉진하므로 질소 함량이 높은 것을 피하십시오. 토마토 모종을 빽빽하게 심지 마십시오. 빛을 많이 제공하십시오. 정원 토양을 예열하십시오. 줄기를 묻으십시오. 토양이 따뜻해진 후 토마토 뿌리 덮개를 제거하십시오. 아래쪽 잎. 더 많은 토마토를 얻기 위해 꼬집고 자릅니다. 정기적으로 물을 줍니다.,"토마토(Solanum lycopersicum)는 남아메리카가 원산지인 가지과의 과일입니다.

식물학적으로는 과일임에도 불구하고 일반적으로 야채처럼 먹고 조리합니다.

토마토는 항산화제인 리코펜의 주요 식이 공급원으로 심장병과 암의 위험 감소를 비롯한 많은 건강상의 이점과 관련이 있습니다.

또한 비타민 C, 칼륨, 엽산 및 비타민 K의 훌륭한 공급원이기도 합니다.",https://cdn8.dissolve.com/p/D869_27_632/D869_27_632_1200.jpg
